ID,coordx,coordy,x1,x2,x3,x4,y
44,-6.97143,33.65939,306.0171069,0.87796,84.05797101,2,0.402631579
45,-6.9471,33.64048,306.7320697,0.73435,75,8,0.202631579
46,-6.41346,33.6395,277.8015436,-0.83444,0,4,0.944736842
47,-6.92201,33.58788,309.8164803,-1.14062,30,3,0.486842105
48,-6.74794,33.55684,302.8304237,1.47317,45.9873125,2,0.328947368
49,-6.75678,33.54934,304.0946429,0.11673,38.5643,4,0.265789474
50,-6.23242,33.50136,284.1226951,-0.18485,0,3,0.728947368
51,-6.18593,33.47472,285.8861796,1.20416,86.20689655,8,0.286842105
52,-5.2028,33.42726,277.8282403,0.5858,98.95287958,11,0.018421053
53,-5.24034,33.39488,281.1939505,1.55127,98.41269841,11,0.128947368
54,-5.26791,33.37455,283.8080274,1.74954,98.96373057,11,0.007894737
55,-5.2265,33.3744,284.0882262,-0.71311,93.88888889,10,0.555263158
56,-5.23448,33.32404,289.5710051,0.5104,98.44559585,11,0.039473684
57,-5.22128,33.2921,293.329216,-0.40692,98.95287958,9,0.665789474
58,-5.34051,33.25734,296.4592256,0.83791,99.47643979,11,0.05
59,-5.30246,33.24606,297.5222131,-0.74344,99,11,0.965789474
60,-5.25154,33.23277,299.6303755,0.33037,98.47715736,11,0.023684211
61,-5.2816,33.22294,300.3731247,-0.52968,98.97435897,11,0.997368421
62,-4.91762,33.6133,262.1248655,0.81344,97.92746114,7,0.339473684
